crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
2175,Zea mays,8.5,4.5,7.0,7.0,1200.0
2187,Amaranthus caudatus,8.5,4.3,7.5,7.5,2300.0
2188,Amaranthus dubius,8.5,5.5,7.5,7.5,2400.0
2189,Amaranthus lividus,7.5,4.3,7.0,7.0,1500.0
2190,Amaranthus tricolor,8.0,4.3,7.5,7.5,1500.0
2192,Anethum graveolens,8.0,5.0,7.0,7.0,1200.0
2194,Annona cherimola,8.0,5.5,7.5,7.5,1200.0
2196,Annona diversifolia,8.4,5.8,8.0,8.0,1400.0
2197,Annona purpurea,7.0,5.0,6.5,6.5,3000.0
2198,Antidesma bunius,8.0,5.5,7.0,7.0,3000.0
2199,Arachis hypogaea,8.5,4.5,6.5,6.5,1500.0
2214,Blighia sapida,8.0,4.3,6.5,6.5,4000.0
2220,Brassica oleracea var. gongyloides,8.5,5.5,6.5,6.5,1300.0
2227,Canavalia gladiata,7.5,4.3,6.0,6.0,1800.0
2228,Canna edulis,8.0,4.5,6.5,6.5,1700.0
2231,Carya illinoensis,7.5,5.0,7.0,7.0,1200.0
2234,Castanea sativa,7.0,4.0,6.0,6.0,1300.0
2242,Citrus aurantifolia,8.3,4.8,6.5,6.5,2700.0
2246,Corylus avellana,7.5,5.5,6.5,6.5,1100.0
2263,Diospyros digyna,7.5,5.5,7.0,7.0,1600.0
2282,Syzygium javanicum,8.0,5.0,7.5,7.5,2300.0
2285,Fagopyrum esculentum,7.5,4.4,6.5,6.5,1000.0
2296,Flacourtia indica,8.0,5.0,6.5,6.5,1400.0
2300,Fortunella margarita,8.0,6.0,7.5,7.5,1500.0
2301,Fragaria vesca,6.5,4.5,6.0,6.0,1500.0
2302,Garcinia dulcis,8.0,6.5,7.5,7.5,3000.0
2307,Bactris gasipaes,7.5,4.0,6.5,6.5,4000.0
2315,Juglans regia,8.3,4.5,6.5,6.5,1700.0
2318,Lansium domesticum,7.5,5.5,6.5,6.5,2200.0
2334,Manilkara achras,8.5,5.5,7.0,7.0,1500.0
2335,Maranta arundinacea,8.0,5.0,6.5,6.5,2000.0
2340,Melissa officinalis,7.8,4.5,6.0,6.0,1000.0
2347,Monochoria hastata,7.0,4.0,6.5,6.5,2000.0
2348,Moringa oleifera,8.5,5.0,7.0,7.0,2200.0
2349,Morus nigra,8.3,4.3,7.0,7.0,1500.0
2350,Mucuna pruriens var utilis,7.5,4.0,6.5,6.5,1500.0
2357,Nasturtium schlechteri,7.0,4.5,6.5,6.5,1200.0
2359,Nelumbo nucifera,7.3,5.5,6.5,6.5,2800.0
2360,Nephelium mutabile,8.0,4.3,5.8,5.8,3000.0
2363,Ocimum americanum,8.0,5.0,7.0,7.0,2000.0
2364,Oenanthe javanica,7.0,4.5,6.5,6.5,3000.0
2371,Oxalis tuberosa,7.8,5.3,7.0,7.0,1300.0
2380,Parinari nonda,8.0,4.5,7.0,7.0,1600.0
2381,Passiflora ligularis,7.5,5.1,7.0,7.0,1200.0
2386,Pistacia vera,8.5,6.0,8.0,8.0,700.0
2390,Polyscias verticillata,8.0,4.5,7.0,7.0,2000.0
2394,Pouteria campechiana,8.0,5.5,7.5,7.5,2000.0
2397,Prunus amygdalus,8.0,5.5,7.0,7.0,900.0
2398,Prunus armeniaca,8.0,5.0,7.0,7.0,1300.0
2413,Sambucus nigra,8.0,5.5,7.5,7.5,1200.0
2428,Sterculia foetida,8.0,5.0,7.5,7.5,1800.0
2433,Talinum triangulare,7.0,4.5,6.5,6.5,2000.0
2442,Tragopogon porrifolius,8.0,6.0,7.5,7.5,900.0
2447,Tropaeolum tuberosum,7.5,5.3,7.0,7.0,1200.0
2452,Ximenia americana,7.5,4.5,7.0,7.0,1250.0
2454,Rheum rhaponticum,7.8,5.3,7.0,7.0,1300.0
2465,Annona cherimola x Annona squamosa,7.0,5.0,6.5,6.5,3000.0
2467,Pangium edule,7.0,5.0,6.5,6.5,5000.0
2474,Beta vulgaris var. cicla,8.3,5.5,6.5,6.5,800.0
2475,Luffa cylindrica,8.3,4.3,6.5,6.5,2000.0
2479,Cicer arietinum,9.5,4.7,8.5,8.5,1000.0
2483,Musa sp.,7.5,4.5,7.0,7.0,2700.0
2486,Alocasia macrorrhizos,7.3,5.0,6.3,6.3,3500.0
2499,Bruguiera gymnorrhiza,8.5,6.5,8.0,8.0,6000.0
2501,Avicennia officinalis,7.5,6.0,7.0,7.0,3000.0
2507,Musa balbisiana,7.5,4.5,7.0,7.0,3000.0
2508,Coffea excelsa,7.5,4.0,6.5,6.5,2400.0
2509,Chenopodium quinoa,9.5,4.5,8.0,8.0,1000.0
2514,Carthamus tinctorius,8.0,5.0,7.5,7.5,1000.0
2516,Phaseolus acutifolius,8.0,5.0,7.0,7.0,1000.0
2524,Vigna aconitifolia,8.0,5.0,7.5,7.5,900.0
2525,Phaseolus polyanthus,7.0,5.5,6.5,6.5,2200.0
2528,Solanum muricatum,7.5,6.0,7.0,7.0,1400.0
2579,Acacia aneura,7.5,4.5,7.0,7.0,450.0
2580,Acacia anticeps,8.5,5.5,7.5,7.5,450.0
2588,Acacia brachystachya,7.5,4.5,7.0,7.0,300.0
2599,Acacia coriacea,8.5,6.0,7.5,7.5,500.0
2600,Acacia cowleana,8.0,4.5,7.0,7.0,400.0
2646,Acacia leucophloea,7.5,5.0,7.0,7.0,1700.0
2651,Acacia macdonnelliensis,7.0,4.5,6.5,6.5,250.0
2664,Acacia murrayana,8.5,4.5,7.5,7.5,400.0
2697,Acacia senegal,8.0,4.5,7.0,7.0,800.0
2705,Acacia stenophylla,8.5,6.5,8.0,8.0,600.0
2718,Acacia victoriae,8.5,5.0,7.5,7.5,800.0
2735,Acanthosicyos naudinianus,7.0,5.5,6.5,6.5,500.0
2741,Acca sellowiana,8.0,4.5,7.0,7.0,1500.0
2783,Acrocomia aculeata,7.5,5.0,6.5,6.5,2000.0
2787,Acrocomia totai,7.0,5.0,6.5,6.5,1500.0
2803,Actinidia arguta,7.0,4.5,6.5,6.5,1500.0
2807,Adansonia digitata,7.5,4.3,6.5,6.5,1500.0
2808,Adansonia grandidieri,7.5,5.0,7.0,7.0,1500.0
2809,Adansonia gregorii,7.5,4.5,6.5,6.5,1500.0
