crop_id,companion_species,crop_cycle_max,crop_cycle_min,cropping_system,labour_intensity,level_of_mechanization,product_system,subsystem
8386,,365.0,270.0,,,,,
8409,,210.0,110.0,,,,,
8418,,120.0,60.0,permanent rainfed,,,"home garden, small scale (manual), intermediate (animal drawn), large scale/commercial",ley cropping
8432,,365.0,270.0,,,,,
8466,,300.0,160.0,,,,,
8488,,,,,,,,
8524,,365.0,365.0,,,,,
8526,,0.0,0.0,,,,,
8532,,240.0,150.0,,,,,
8537,,365.0,180.0,,,,,
8552,,0.0,0.0,,,,home garden,
8556,"maize, beans, gourd",120.0,80.0,arable irrigated,,,"home garden, small scale (manual)",inter-cropping
8565,,240.0,210.0,,,,"home garden, small scale (manual)",
8566,,0.0,0.0,,,,,
8632,,180.0,120.0,,,,,
8647,,240.0,180.0,,,,,
8700,,240.0,120.0,,,,,
8753,,,,,,,,
8785,,240.0,180.0,,,,,
8821,,0.0,0.0,,,,,
