scientific_name,crop_id
Sagittaria sagittifolia,9441
Salacca wallichiana,9449
Salacca zalacca,9450
Salicornia bigelovii,9468
Salvadora persica,9506
Sambucus canadensis,9527
Sambucus cerulea,9528
Sambucus racemosa,9531
Sanguisorba officinalis,9536
Santalum acuminatum,9545
Santalum album,9546
Sauropus androgynus,9593
Schleichera oleosa,9621
Scirpus lacustris,9639
Sclerocarya caffra,9645
Sesbania bispinosa,9712
Sesbania sesban,9722
Setaria italica,9732
Shorea robusta,9747
Simarouba glauca,9785
Simmondsia chinensis,9786
Sinapis alba,9787
Solanum aethiopicum,9825
Solanum hyporhodium,9863
Solanum incanum,9864
Solanum oleraceum,9868
Solanum macrocarpon,9878
Solanum x juzepczukii,9916
Solenostemon rotundifolius,9922
Sorbus aucuparia,9941
Sorbus domestica,9942
Sphenostylis stenocarpa,10000
Spondias purpurea,10015
Stachys affinis,10030
Stellaria media,10046
Strychnos cocculoides,10126
Strychnos innocua,10130
Strychnos spinosa,10135
Syzygium cordatum,10207
Syzygium guineense,10223
Taraxacum officinale,10291
Telfairia occidentalis,10307
Telfairia pedata,10308
Teramnus labialis,10319
Tetragonia tetragonioides,10370
Theobroma bicolor,10391
Theobroma grandiflorum,10394
Toona ciliata,10458
Tragopogon pratensis,10478
Trigonella foenum-graecum,10554
Triticum compactum,10579
Triticum dicoccon,10581
Triticum durum,10582
Triticum spelta,10591
Tylosema esculentum,10626
Typha angustifolia,10628
Typha domingensis,10631
Typha latifolia,10633
Uapaca kirkiana,10644
Urtica dioica,10679
Urtica urens,10686
Utricularia vulgaris,10687
Vaccinium angustifolium,10700
Vaccinium corymbosum,10704
Vaccinium macrocarpon,10711
Vaccinium myrtillus,10714
Vaccinium vitis-idaea,10719
Vangueria infausta,10733
Vangueria madagascariensis,10734
Verbena officinalis,10758
Vernonia amygdalina,10763
Vicia monantha,10808
Vigna subterranea,10830
Vigna unguiculata ssp. dekindtiana,10833
Vigna unguiculata ssp. sesquipedalis,10834
Vigna unguiculata ssp. unguiculata,10835
Vigna vexillata,10836
Vitellaria paradoxa,10862
Vitex doniana,10874
Vitex keniensis,10880
Vitis labrusca,10895
Vitis rotundifolia,10900
Warburgia ugandensis,10914
Xanthosoma brasiliense,10941
Yucca elephantipes,10967
Zea mays ssp. saccharata,10981
Euchlaena mexicana,10982
Zizania latifolia,10994
Ziziphus mucronata,11001
Zostera marina,11015
Asimina triloba,11029
Raphanus sativus var. radicula,11291
Vigna unguiculata ssp. stenophylla,11426
Leucaena collinsii,11661
Leucaena collinsii sp. collinsii,11684
Leucaena pallida,11687
Leucaena trichandra,11689
Lythrum salicaria,11750
Prosopis glandulosa,11752
Ajuga reptans,12183
Aponogeton distachyos,12396
Arctostaphylos uva-ursi,12414
Asclepias incarnata,12484
Asclepias speciosa,12493
Caragana arborescens,12852
Celtis australis,13007
Crataegus oxyacantha,13402
Eryngium campestre,14023
Eugenia jambos,14060
Hylocereus undatus,14639
Parietaria officinalis,15772
Pontederia cordata,16098
Prunus domestica,16203
Samolus valerandi,16595
Sparganium erectum,17012
Succisa pratensis,17131
Tamus communis,17152
Trapa natans,17278
Vicia ervilia,17507
Ziziphus mauritiana,17633
Vigna unguiculata ssp. pubescens,17643
Persea americana ssp. mexican,17644
Persea americana ssp. guatemalan,17645
Persea americana ssp. west indian,17646
Ipomoea aquatica var. reptans,17650
Vigna unguiculata ssp. biflora,17651
Gelidiella acerosa,17656
Siphonochilus aethiopicus,17664
Chenopodium album,17797
Anchusa azurea,17836
Ludwigia adscendens,18201
Marsilea quadrifolia,18215
Potentilla reptans,18325
Podocarpus falcatus,30805
Acanthosicyos horridus,31703
Borassus aethiopum,32427
Ficus thonningii,38122
Girardinia diversifolia,38133
Burkea africana,42696
Securidaca longependunculata,45286
Sclerocarya birrea ssp. caffra,45894
Warburgia salutaris,46753
Terminalia prunioides,47139
Beta vulgaris var. saccharifera,48742
Sorghum bicolor,48747
Fagus sylvatica,49181
Lonicera caprifolium,49211
Carlina acaulis,49984
Centaurea centaurium,49985
Cetraria islandica,49987
Euphrasia officinalis,50045
Petasites albus,75000
Orbignya phalerata,75061
Lupinus atlanticus,76733
Raphanus sativus var. oleiferus,83541
Couma utilis,127526
Hyphaene compressa,148253
Pachyrhizus ahipa,148964
Pachyrhizus tuberosus,148966
Mirabilis expansa,148967
Uvaria scheffleri,148974
Acokanthera schimperi,149006
Aiphanes aculeata,197703
Amelanchier pallida,198033
Canavalia brasiliensis,202719
Citrus aurantium ssp. bergamia,205644
Malva alcea,220867
Peltandra sagittifolia,225371
Terminalia bellirica,236039
Vicia sativa ssp. nigra,238002
Zea mays ssp. mays,238663
Ziziphus abyssinica,243766
Stereospermum kunthianum,355153
Donaldsonia stenopetala,363339
Ambelania acida,367215
Desmanthus bicornutus,372231
Trichanthera gigantea,372262
Camelina sativa,400004
Allium sativum,367
Bixa orellana,520
Brassica nigra,550
Cinnamomum verum,702
Coleus amboinicus,754
Curcuma longa,828
Cymbopogon citratus,841
Elettaria cardamomum,984
Laurus nobilis,1333
Mentha arvensis var. piperascens,1448
Myristica fragrans,1514
Petroselinum crispum,1661
Piper nigrum,1714
Pogostemon cablin,1763
Trifolium pratense,2104
Tropaeolum majus,2119
Vanilla planifolia,2131
Zingiber officinale,2177
Origanum vulgare,2369
Rungia klossii,2411
Thymus vulgaris,2441
Eugenia aromatica,2462
Achillea millefolium,2762
Acorus calamus,2779
Allium ursinum,3010
Aloe ferox,3036
Aloysia triphylla,3048
Alpinia officinarum,3054
Artemisia abrotanum,3389
Artemisia absinthium,3390
Artemisia dracunculus,3402
Artemisia vulgaris,3415
Azolla pinnata,3585
Prunella vulgaris,3944
Butyrospermum paradoxum ssp. parkii,3989
Caesalpinia sappan,4006
Calendula officinalis,4040
Calluna vulgaris,4061
Capsicum baccatum var. pendulum,4177
Capsicum chinense,4178
Capsicum pubescens,4183
Chrysanthemum parthenium,4531
Cinnamomum burmannii,4567
Cinnamomum cassia,4568
Cinnamomum loureirii,4570
Cnicus benedictus,4700
Crocus sativus,4962
Cuminum cyminum,5043
Ferula assa-foetida,6095
Gentiana lutea,6404
Glycyrrhiza glabra,6467
Glycyrrhiza lepidota,6468
Hyssopus officinalis,6852
Ilex aquifolium,6860
Lavandula angustifolia,7172
Lesquerella fendleri,7258
Lippia citriodora,7338
Majorana hortensis,7542
Mentha pulegium,7707
Michelia champaca,7745
Murraya koenigii,7846
Myroxylon balsamum,7895
Myroxylon balsamum var. perei.,7896
Myrtus communis,7900
Nigella sativa,7987
Ocimum tenuiflorum,8037
Origanum onites,8120
Oxalis acetosella,8174
Pelargonium graveolens,8403
Perilla frutescens,8452
Pimenta racemosa,8594
Pimpinella anisum,8595
Pimpinella saxifraga,8596
Pinus mugo,8642
Piper longum,8674
Pistacia lentiscus,8690
Polypodium vulgare,8853
Prosopis africana,8944
Rauvolfia serpentina,9185
Robinia pseudoacacia,9297
Rosmarinus officinalis,9326
Rumex acetosa,9398
Ruta graveolens var. bracteosa,9421
Salvia sclarea,9516
Sanguisorba minor,9535
Satureja hortensis,9582
Satureja montana,9584
Solanum ferox,9856
Sterculia urens,10081
Stevia rebaudiana,10084
Tanacetum vulgare,10284
Tetrapleura tetraptera,10373
Teucrium chameadrys,10379
Thaumatococcus daniellii,10386
Thymus serpyllum,10432
Trachyspermum ammi,10473
Althaea rosea,11281
Angelica atropurpurea,12347
Dipsacus fullonum,13746
Ruta graveolens,18352
Artemisia glacialis,49189
Pinguicula vulgaris,49212
Gentiana acaulis,50047
Peucedanum ostruthium,50472
Zanthoxylum chalybeum,248815
Abelmoschus moschatus,291
Acacia farnesiana,297
Albizia lebbeck,349
Alstonia scholaris,379
Cassia alata,634
Casuarina equisetifolia,646
Catharanthus roseus,652
Cedrela odorata,656
Cinchona pubescens,697
Cinnamomum camphora,699
Crotalaria juncea,801
Cynodon dactylon,848
Datura stramonium,870
Delonix regia,880
Dodonaea viscosa,952
Erythrina variegata,1012
Eucalyptus camaldulensis,1017
Eucalyptus robusta,1023
Flemingia macrophylla,1104
Gliricidia sepium,1146
Helianthus annuus,1191
Heritiera littoralis,1205
Intsia bijuga,1263
Jatropha curcas,1297
Lawsonia inermis,1334
Melaleuca leucadendron,1430
Melaleuca quinquenervia,1431
Melaleuca symphyocarpa,1433
Nauclea diderrichii,1524
Nerium oleander,1531
Piper betle,1710
Piper methysticum,1713
Plantago lanceolata,1732
Plantago major,1733
Pongamia pinnata,1781
Rhizophora mangle,1848
Rhizophora mucronata,1849
Swietenia mahogani,2023
Tecoma stans,2052
Tectona grandis,2054
Tephrosia vogelii,2059
Thuja occidentalis,2078
Bersama lucens,2087
Origanum majorana,2368
Salvia officinalis,2412
Indigofera hirsuta,2526
Abies alba,2550
Acacia ataxacantha,2582
Acacia catechu,2593
Acacia karroo,2639
Acacia nilotica,2667
Acanthus mollis,2737
Acer campestre,2744
Achillea fragrantissima,2761
Achillea millefolium ssp. millefolium,2763
Aconitum napellus,2777
Adiantum capillus-veneris,2823
Adonis vernalis,2829
Afzelia africana,2877
Agrimonia eupatoria,2914
Ailanthus altissima,2943
Ailanthus excelsa,2944
Alnus glutinosa,3021
Aloe arborescens,3031
Aloe barbadensis,3032
Aloe perryi,3039
Althaea officinalis,3066
Anagallis arvensis,3187
Anemone nemorosa,3217
Anthemis nobilis,3254
Anthocephalus macrophyllus,3259
Anthocleista nobilis,3260
Anthriscus cerefolium,3265
Anthyllis vulneraria,3270
Aquilaria malaccensis,3302
Aquilegia vulgaris,3304
Arnica montana,3385
Artemisia afra,3391
Artemisia annua,3392
Asclepias tuberosa,3466
Asphodelus albus,3487
Astragalus gummifer,3504
Atropa belladonna,3558
Azadirachta indica,3581
Baphia nitida,3635
Bauhinia tomentosa,3670
Blumea balsamifera,3742
Boesenbergia rotunda,3750
Boswellia serrata,3783
Brachystegia spiciformis,3837
Butea monosperma,3986
Caesalpinia coriaria,4004
Calamus caesius,4023
Calamus peregrinus,4033
Calophyllum brasiliense,4074
